DATE,PCE
12/1/1976,3.95785691
1/1/1977,3.969291081
2/1/1977,4.022541653
3/1/1977,4.045409997
4/1/1977,4.074812153
5/1/1977,4.106827834
6/1/1977,4.128062725
7/1/1977,4.18327344
8/1/1977,4.200261352
9/1/1977,4.229010127
10/1/1977,4.284220843
11/1/1977,4.33518458
12/1/1977,4.364586736
1/1/1978,4.343351846
2/1/1978,4.426984646
3/1/1978,4.500163345
4/1/1978,4.561907873
5/1/1978,4.612871611
6/1/1978,4.657954917
7/1/1978,4.661221823
8/1/1978,4.727213329
9/1/1978,4.746488076
10/1/1978,4.792224763
11/1/1978,4.836981379
12/1/1978,4.888925188
1/1/1979,4.908199935
2/1/1979,4.958510291
3/1/1979,5.002286834
4/1/1979,5.025808559
5/1/1979,5.092453447
6/1/1979,5.147664162
7/1/1979,5.181639987
8/1/1979,5.278013721
9/1/1979,5.337798105
10/1/1979,5.362953283
11/1/1979,5.414243711
12/1/1979,5.443645867
1/1/1980,5.544919961
2/1/1980,5.558314276
3/1/1980,5.580529239
4/1/1980,5.538059458
5/1/1980,5.554067298
6/1/1980,5.615158445
7/1/1980,5.707611892
8/1/1980,5.762169226
9/1/1980,5.81672656
10/1/1980,5.936295328
11/1/1980,5.967984319
12/1/1980,6.049330284
1/1/1981,6.109114668
2/1/1981,6.155504737
3/1/1981,6.216595884
4/1/1981,6.221496243
5/1/1981,6.252205162
6/1/1981,6.319830121
7/1/1981,6.344658608
8/1/1981,6.424697811
9/1/1981,6.421104214
10/1/1981,6.415877164
11/1/1981,6.437765436
12/1/1981,6.49722313
1/1/1982,6.524338451
2/1/1982,6.603070892
3/1/1982,6.61254492
4/1/1982,6.619732114
5/1/1982,6.679189807
6/1/1982,6.69095067
7/1/1982,6.76968311
8/1/1982,6.795491669
9/1/1982,6.875530872
10/1/1982,6.944789285
11/1/1982,7.021561581
12/1/1982,7.061744528
1/1/1983,7.102254165
2/1/1983,7.112054884
3/1/1983,7.196341065
4/1/1983,7.273440052
5/1/1983,7.337144724
6/1/1983,7.435478602
7/1/1983,7.528258739
8/1/1983,7.580529239
9/1/1983,7.627899379
10/1/1983,7.702058151
11/1/1983,7.730480235
12/1/1983,7.819666776
1/1/1984,7.903952957
2/1/1984,7.852009147
3/1/1984,7.943809213
4/1/1984,8.028422084
5/1/1984,8.08395949
6/1/1984,8.152891212
7/1/1984,8.149624306
8/1/1984,8.207121856
9/1/1984,8.27768703
10/1/1984,8.269519765
11/1/1984,8.400522705
12/1/1984,8.437112055
1/1/1985,8.555374061
2/1/1985,8.627245998
3/1/1985,8.652401176
4/1/1985,8.688337145
5/1/1985,8.808885985
6/1/1985,8.786017641
7/1/1985,8.871937275
8/1/1985,8.990852663
9/1/1985,9.130022868
10/1/1985,9.002940216
11/1/1985,9.052923881
12/1/1985,9.184253512
1/1/1986,9.235870631
2/1/1986,9.213328977
3/1/1986,9.224436459
4/1/1986,9.262332571
5/1/1986,9.33518458
6/1/1986,9.348905586
7/1/1986,9.412610258
8/1/1986,9.469454427
9/1/1986,9.708591963
10/1/1986,9.581509311
11/1/1986,9.566808233
12/1/1986,9.791244691
1/1/1987,9.590003267
2/1/1987,9.80627246
3/1/1987,9.844168572
4/1/1987,9.927474681
5/1/1987,9.958836981
6/1/1987,10.03854949
7/1/1987,10.11009474
8/1/1987,10.22803006
9/1/1987,10.21398236
10/1/1987,10.24011761
11/1/1987,10.2718066
12/1/1987,10.3694871
1/1/1988,10.49885658
2/1/1988,10.52401176
